task_type,difficulty,test_input,expected_answer,prediction,is_correct,test_id,ut_steps,full_response,generation_time,generated_tokens,input_tokens,is_degenerate
n_ary,2_ops,871 + 556 =,1427,1427,True,79c641e4,12,[FINAL]  1427 [END],16.670497409000063,8,846,False
n_ary,2_ops,888 + 759 =,1647,1647,True,5ca9e316,12,[FINAL]  1647 [END],16.940715855000008,8,846,False
n_ary,2_ops,670 + 418 =,1088,1088,True,f45d66a6,12,[FINAL]  1088 [END],17.379462269999976,8,846,False
n_ary,2_ops,661 + 544 =,1205,1205,True,d333d682,12,[FINAL]  1205 [END],18.184895231999917,8,846,False
n_ary,2_ops,328 + 902 =,1230,1230,True,508bcc7b,12,[FINAL]  1230 [END],18.34346433099995,8,846,False
n_ary,2_ops,696 + 243 =,939,939,True,7d6f48ef,12,[FINAL]  939 [END],18.664047482,7,846,False
n_ary,2_ops,810 + 357 =,1167,1167,True,a04564cd,12,[FINAL]  1167 [END],19.90951685899995,8,846,False
n_ary,2_ops,191 + 780 =,971,971,True,2beef17d,12,[FINAL]  971 [END],19.11182111100004,7,846,False
n_ary,2_ops,933 + 652 =,1585,1585,True,ae954ab6,12,[FINAL]  1585 [END],19.186891779999996,8,846,False
n_ary,2_ops,995 + 551 =,1546,1546,True,cf933cbf,12,[FINAL]  1546 [END],19.497263577000012,8,846,False
n_ary,2_ops,227 + 885 =,1112,1112,True,3c7a8694,12,[FINAL]  1112 [END],20.095768420000013,8,846,False
n_ary,2_ops,395 + 913 =,1308,1308,True,1534f4e1,12,[FINAL]  1308 [END],19.40200593999998,8,846,False
n_ary,2_ops,661 + 800 =,1461,1461,True,acea4092,12,[FINAL]  1461 [END],19.358111742000006,8,846,False
n_ary,2_ops,262 + 254 =,516,516,True,c6d77350,12,[FINAL]  516 [END],19.437296790000005,7,846,False
n_ary,2_ops,244 + 977 =,1221,1221,True,7d21bd53,12,[FINAL]  1221 [END],19.44195837899997,8,846,False
n_ary,2_ops,433 + 105 =,538,538,True,7366764f,12,[FINAL]  538 [END],18.813919036000016,7,846,False
n_ary,2_ops,594 + 781 =,1375,1375,True,5af05db5,12,[FINAL]  1375 [END],19.971486263999964,8,846,False
n_ary,2_ops,587 + 573 =,1160,1160,True,f91c0ede,12,[FINAL]  1160 [END],19.517302381000036,8,846,False
n_ary,2_ops,191 + 618 =,809,809,True,be0bc17a,12,[FINAL]  809 [END],19.15470373100004,7,846,False
n_ary,2_ops,682 + 984 =,1666,1666,True,9c5642c0,12,[FINAL]  1666 [END],19.377313035000043,8,846,False
n_ary,2_ops,795 + 227 =,1022,1022,True,a2ba9095,12,[FINAL]  1022 [END],19.684308657999964,8,846,False
n_ary,2_ops,919 + 109 =,1028,1028,True,e37961af,12,[FINAL]  1028 [END],19.42108696999992,8,846,False
n_ary,2_ops,471 + 164 =,635,635,True,45186f7e,12,[FINAL]  635 [END],19.141790303999983,7,846,False
n_ary,2_ops,851 + 650 =,1501,1401,False,131a9162,12,[FINAL]  1401 [END],19.68531481499997,8,846,False
n_ary,2_ops,882 + 157 =,1039,1039,True,414ed408,12,[FINAL]  1039 [END],19.382892504999973,8,846,False
n_ary,2_ops,341 + 322 =,663,663,True,e6b4db98,12,[FINAL]  663 [END],19.060441179999998,7,846,False
n_ary,2_ops,814 + 812 =,1626,1626,True,d8f15a69,12,[FINAL]  1626 [END],19.50150567200012,8,846,False
n_ary,2_ops,524 + 231 =,755,755,True,01cd48ab,12,[FINAL]  755 [END],19.04598240500013,7,846,False
n_ary,2_ops,818 + 463 =,1281,1281,True,bba9e421,12,[FINAL]  1281 [END],19.738809344000174,8,846,False
n_ary,2_ops,725 + 384 =,1109,1109,True,351c8126,12,[FINAL]  1109 [END],19.46988116800003,8,846,False
n_ary,2_ops,165 + 142 =,307,307,True,ab72c775,12,[FINAL]  307 [END],19.267239426999822,7,846,False
n_ary,2_ops,078 + 742 =,820,820,True,7f6e3d9f,12,[FINAL]  820 [END],19.09068140699992,7,846,False
n_ary,2_ops,020 + 992 =,1012,1012,True,fb33ca93,12,[FINAL]  1012 [END],19.464878653999904,8,846,False
n_ary,2_ops,176 + 446 =,622,622,True,baf2242c,12,[FINAL]  622 [END],19.002527780000037,7,846,False
n_ary,2_ops,104 + 856 =,960,960,True,6c8e5831,12,[FINAL]  960 [END],19.142831263000062,7,846,False
n_ary,2_ops,401 + 405 =,806,806,True,4633ae0c,12,[FINAL]  806 [END],19.462521437000078,7,846,False
n_ary,2_ops,507 + 084 =,591,591,True,f067e942,12,[FINAL]  591 [END],18.966351291000137,7,846,False
n_ary,2_ops,475 + 089 =,564,564,True,7f91b417,12,[FINAL]  564 [END],19.13672931499991,7,846,False
n_ary,2_ops,066 + 868 =,934,934,True,d323c2c5,12,[FINAL]  934 [END],19.02628207099997,7,846,False
n_ary,2_ops,322 + 290 =,612,612,True,66c2a4f5,12,[FINAL]  612 [END],18.942098102000045,7,846,False
n_ary,2_ops,574 + 902 =,1476,1476,True,20c2e47b,12,[FINAL]  1476 [END],19.364569488999905,8,846,False
