Model,Category,Task,UT Steps,Accuracy
Ouro,Main Tasks,igsm,2,13.0
Ouro,Main Tasks,igsm,3,12.0
Ouro,Main Tasks,igsm,4,19.0
Ouro,Main Tasks,igsm,6,32.0
Ouro,Main Tasks,igsm,7,17.0
Ouro,Main Tasks,igsm,8,22.0
Ouro,Main Tasks,igsm,12,18.0
Ouro,Main Tasks,n_ary,2,25.6
Ouro,Main Tasks,n_ary,3,29.4
Ouro,Main Tasks,n_ary,4,2.6
Ouro,Main Tasks,n_ary,6,29.2
Ouro,Main Tasks,n_ary,7,28.0
Ouro,Main Tasks,n_ary,8,4.8
Ouro,Main Tasks,n_ary,12,3.83
Ouro,Main Tasks,p_hop,2,21.67
Ouro,Main Tasks,p_hop,3,28.0
Ouro,Main Tasks,p_hop,4,19.67
Ouro,Main Tasks,p_hop,6,29.67
Ouro,Main Tasks,p_hop,7,18.0
Ouro,Main Tasks,p_hop,8,28.67
Ouro,Main Tasks,p_hop,12,25.07
Ouro,Reasoning Primitives,var_assign_depth_0_code,2,95.0
Ouro,Reasoning Primitives,var_assign_depth_0_code,3,97.0
Ouro,Reasoning Primitives,var_assign_depth_0_code,4,35.0
Ouro,Reasoning Primitives,var_assign_depth_0_code,6,98.0
Ouro,Reasoning Primitives,var_assign_depth_0_code,7,99.0
Ouro,Reasoning Primitives,var_assign_depth_0_code,8,20.0
Ouro,Reasoning Primitives,var_assign_depth_0_code,12,96.0
Ouro,Reasoning Primitives,var_assign_depth_0_equation,2,93.0
Ouro,Reasoning Primitives,var_assign_depth_0_equation,3,100.0
Ouro,Reasoning Primitives,var_assign_depth_0_equation,4,39.0
Ouro,Reasoning Primitives,var_assign_depth_0_equation,6,100.0
Ouro,Reasoning Primitives,var_assign_depth_0_equation,7,100.0
Ouro,Reasoning Primitives,var_assign_depth_0_equation,8,31.0
Ouro,Reasoning Primitives,var_assign_depth_0_equation,12,86.0
Ouro,Reasoning Primitives,var_assign_depth_0_math,2,100.0
Ouro,Reasoning Primitives,var_assign_depth_0_math,3,100.0
Ouro,Reasoning Primitives,var_assign_depth_0_math,4,27.0
Ouro,Reasoning Primitives,var_assign_depth_0_math,6,100.0
Ouro,Reasoning Primitives,var_assign_depth_0_math,7,100.0
Ouro,Reasoning Primitives,var_assign_depth_0_math,8,28.0
Ouro,Reasoning Primitives,var_assign_depth_0_math,12,88.0
Ouro,Reasoning Primitives,var_assign_depth_1_code,2,70.0
Ouro,Reasoning Primitives,var_assign_depth_1_code,3,89.0
Ouro,Reasoning Primitives,var_assign_depth_1_code,4,32.0
Ouro,Reasoning Primitives,var_assign_depth_1_code,6,95.0
Ouro,Reasoning Primitives,var_assign_depth_1_code,7,96.0
Ouro,Reasoning Primitives,var_assign_depth_1_code,8,19.0
Ouro,Reasoning Primitives,var_assign_depth_1_code,12,80.0
Ouro,Reasoning Primitives,var_assign_depth_1_equation,2,79.0
Ouro,Reasoning Primitives,var_assign_depth_1_equation,3,88.0
Ouro,Reasoning Primitives,var_assign_depth_1_equation,4,35.0
Ouro,Reasoning Primitives,var_assign_depth_1_equation,6,98.0
Ouro,Reasoning Primitives,var_assign_depth_1_equation,7,92.0
Ouro,Reasoning Primitives,var_assign_depth_1_equation,8,20.0
Ouro,Reasoning Primitives,var_assign_depth_1_equation,12,88.0
Ouro,Reasoning Primitives,var_assign_depth_1_math,2,77.0
Ouro,Reasoning Primitives,var_assign_depth_1_math,3,93.0
Ouro,Reasoning Primitives,var_assign_depth_1_math,4,36.0
Ouro,Reasoning Primitives,var_assign_depth_1_math,6,94.0
Ouro,Reasoning Primitives,var_assign_depth_1_math,7,95.0
Ouro,Reasoning Primitives,var_assign_depth_1_math,8,26.0
Ouro,Reasoning Primitives,var_assign_depth_1_math,12,94.0
