task_type,difficulty,test_input,expected_answer,is_correct,test_id,ut_steps,full_response,prediction,generation_time,generated_tokens,input_tokens,prompt_idx
n_ary,4_ops,698 + 193 + 559 + 541 =,1991,False,59001bc0,1,ERROR: No output,ERROR,0.2352629269999511,0,437,
n_ary,4_ops,800 + 611 + 208 + 100 =,1719,False,2d193550,1,ERROR: No output,ERROR,0.2352629269999511,0,437,
n_ary,4_ops,595 + 652 + 980 + 589 =,2816,False,e8e7ae23,1,ERROR: No output,ERROR,0.2352629269999511,0,437,
n_ary,4_ops,191 + 617 + 292 + 071 =,1171,False,77627d61,1,ERROR: No output,ERROR,0.2352629269999511,0,437,
n_ary,4_ops,136 + 659 + 352 + 985 =,2132,False,683a048a,1,ERROR: No output,ERROR,0.2352629269999511,0,437,
n_ary,4_ops,810 + 598 + 785 + 518 =,2711,False,0bc16041,1,ERROR: No output,ERROR,0.2352629269999511,0,437,
n_ary,4_ops,144 + 186 + 834 + 451 =,1615,False,c2191565,1,ERROR: No output,ERROR,0.2352629269999511,0,437,
n_ary,4_ops,751 + 673 + 727 + 348 =,2499,False,e8a5c03b,1,ERROR: No output,ERROR,0.2352629269999511,0,437,
n_ary,4_ops,623 + 062 + 428 + 878 =,1991,False,e205d4b6,1,ERROR: No output,ERROR,0.21228292362502543,0,437,
n_ary,4_ops,283 + 044 + 237 + 454 =,1018,False,db5fcf68,1,ERROR: No output,ERROR,0.21228292362502543,0,437,
n_ary,8_ops,981 + 944 + 705 + 332 + 660 + 119 + 205 + 776 =,4722,False,d7a091fa,1,ERROR: No output,ERROR,0.21228292362502543,0,457,
n_ary,8_ops,844 + 786 + 896 + 388 + 858 + 332 + 156 + 259 =,4519,False,26bf7d12,1,ERROR: No output,ERROR,0.21228292362502543,0,457,
n_ary,8_ops,138 + 788 + 466 + 751 + 045 + 791 + 039 + 613 =,3631,False,6521751a,1,ERROR: No output,ERROR,0.21228292362502543,0,457,
n_ary,8_ops,719 + 260 + 521 + 965 + 308 + 436 + 326 + 325 =,3860,False,7b5680ac,1,ERROR: No output,ERROR,0.21228292362502543,0,457,
n_ary,8_ops,602 + 438 + 302 + 673 + 720 + 372 + 508 + 507 =,4122,False,31146a94,1,ERROR: No output,ERROR,0.21228292362502543,0,457,
