task_type,difficulty,test_input,expected_answer,is_correct,test_id,ut_steps,full_response,prediction,generation_time,generated_tokens,input_tokens,prompt_idx
n_ary,4_ops,553 + 871 + 792 + 012 =,2228,False,b0cf19f6,2,"[STEP 1] Current: 0.
[[]




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",0,41.680642722374984,1024,223,0
n_ary,4_ops,032 + 518 + 408 + 956 =,1914,False,b61a3c05,2,"[STEP 1] Current: 0.
[[]




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",0,41.680642722374984,1024,223,1
n_ary,4_ops,328 + 412 + 826 + 507 =,2073,False,f02c124e,2,"[STEP 1] Current: 0.
[[]




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",0,41.680642722374984,1024,223,2
n_ary,4_ops,267 + 629 + 829 + 159 =,1884,False,cae86e81,2,"[STEP 1] Current: 0.
[[]




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",0,41.680642722374984,1024,223,3
n_ary,4_ops,022 + 487 + 442 + 181 =,1132,False,dce8cb69,2,"[STEP 1] Current: 0.
[[]




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",0,41.680642722374984,1024,223,4
n_ary,4_ops,885 + 091 + 708 + 469 =,2153,False,fea22125,2,"[STEP 1] Current: 0.
[[]




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",0,41.680642722374984,1024,223,5
n_ary,4_ops,799 + 682 + 287 + 694 =,2462,False,f1fe7aa9,2,"[STEP 1] Current: 0.
[[]




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",0,41.680642722374984,1024,223,6
n_ary,4_ops,902 + 802 + 302 + 984 =,2990,False,9836aea0,2,"[STEP 1] Current: 0.
[[]




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",0,41.680642722374984,1024,223,7
n_ary,4_ops,669 + 689 + 004 + 786 =,2148,False,8c136ea9,2,"[STEP 1] Current: 0.
[[]




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",0,41.70494885412501,1024,223,0
n_ary,4_ops,891 + 891 + 118 + 275 =,2175,False,5a3efbdd,2,"[STEP 1] Current: 0.
[[]




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",0,41.70494885412501,1024,223,1
